LINK_ID,time,speed
2340219900.0,905,28.875
2340219900.0,915,21.375
2340219900.0,925,24.4375
2340219900.0,935,22.9375
2340219900.0,945,25.5
2340219900.0,955,24.5
2340220000.0,600,40.3375
2340220000.0,605,37.9375
2340220000.0,615,34.975
2340220000.0,625,32.0
2340220000.0,635,32.75
2340220000.0,645,32.5625
2340220000.0,655,30.7875
2340220000.0,700,28.5625
2340220000.0,705,30.4375
2340220000.0,715,30.2125
2340220000.0,725,31.3125
2340220000.0,735,30.875
2340220000.0,745,28.8125
2340220000.0,755,29.8125
2340220000.0,800,31.32857142857143
2340220000.0,805,30.125
2340220000.0,815,31.8125
2340220000.0,825,31.32857142857143
2340220000.0,835,31.357142857142858
2340220000.0,845,33.75
2340220000.0,855,31.5
2340220000.0,900,30.75
2340220000.0,905,30.8125
2340220000.0,915,29.75
2340220000.0,925,30.8125
2340220000.0,935,31.6875
2340220000.0,945,31.5625
2340220000.0,955,28.75
2340220100.0,600,23.25
2340220100.0,605,23.5625
2340220100.0,615,24.375
2340220100.0,625,21.375
2340220100.0,635,23.25
2340220100.0,645,19.875
2340220100.0,655,21.625
2340220100.0,700,18.875
2340220100.0,705,20.125
2340220100.0,715,20.375
2340220100.0,725,19.125
2340220100.0,735,17.75
2340220100.0,745,18.0625
2340220100.0,755,19.75
2340220100.0,800,19.142857142857142
2340220100.0,805,17.875
2340220100.0,815,16.0
2340220100.0,825,16.428571428571427
2340220100.0,835,12.428571428571429
2340220100.0,845,16.75
2340220100.0,855,17.5
2340220100.0,900,18.125
2340220100.0,905,17.0
2340220100.0,915,18.875
2340220100.0,925,16.5
2340220100.0,935,16.875
2340220100.0,945,20.5
2340220100.0,955,20.75
2340220200.0,600,22.0
2340220200.0,605,16.75
2340220200.0,615,22.0
2340220200.0,625,12.75
2340220200.0,635,12.9375
2340220200.0,645,18.75
2340220200.0,655,15.5
2340220200.0,700,15.125
2340220200.0,705,11.75
2340220200.0,715,15.875
2340220200.0,725,19.375
2340220200.0,735,14.25
2340220200.0,745,14.25
2340220200.0,755,15.375
2340220200.0,800,11.0
2340220200.0,805,10.5
2340220200.0,815,15.5
2340220200.0,825,15.0
2340220200.0,835,16.714285714285715
2340220200.0,845,14.1875
2340220200.0,855,13.125
2340220200.0,900,11.625
2340220200.0,905,13.0
2340220200.0,915,10.75
2340220200.0,925,13.0
2340220200.0,935,14.0
2340220200.0,945,11.9375
2340220200.0,955,11.375
2340221300.0,600,38.75
2340221300.0,605,36.25
2340221300.0,615,39.0625
2340221300.0,625,31.5
2340221300.0,635,31.375
2340221300.0,645,28.1875
2340221300.0,655,25.9375
2340221300.0,700,27.9375
2340221300.0,705,25.9375
2340221300.0,715,27.375
2340221300.0,725,26.6875
2340221300.0,735,24.875
2340221300.0,745,25.5
2340221300.0,755,23.625
2340221300.0,800,20.714285714285715
2340221300.0,805,19.875
2340221300.0,815,17.875
2340221300.0,825,18.428571428571427
2340221300.0,835,17.857142857142858
2340221300.0,845,16.125
2340221300.0,855,23.0625
2340221300.0,900,23.5
2340221300.0,905,25.1875
2340221300.0,915,25.0
2340221300.0,925,25.625
2340221300.0,935,25.5
2340221300.0,945,27.1875
2340221300.0,955,26.9375
2340221400.0,600,37.875
2340221400.0,605,33.8125
2340221400.0,615,36.1875
2340221400.0,625,27.3375
2340221400.0,635,31.1875
2340221400.0,645,29.75
2340221400.0,655,30.75
2340221400.0,700,25.5
2340221400.0,705,24.3125
2340221400.0,715,22.375
2340221400.0,725,19.625
2340221400.0,735,17.875
2340221400.0,745,17.5
2340221400.0,755,13.75
2340221400.0,800,17.285714285714285
2340221400.0,805,18.125
2340221400.0,815,18.75
2340221400.0,825,19.428571428571427
2340221400.0,835,22.571428571428573
2340221400.0,845,23.9375
2340221400.0,855,26.25
2340221400.0,900,23.9375
2340221400.0,905,26.75
2340221400.0,915,26.875
2340221400.0,925,27.6875
2340221400.0,935,29.0
2340221400.0,945,29.0625
2340221400.0,955,28.25
2340221600.0,600,36.0
2340221600.0,605,36.5
2340221600.0,615,37.5
2340221600.0,625,35.75
2340221600.0,635,38.5
2340221600.0,645,34.8375
2340221600.0,655,32.625
2340221600.0,700,36.375
2340221600.0,705,36.25
2340221600.0,715,36.125
2340221600.0,725,35.125
2340221600.0,735,33.25
2340221600.0,745,30.625
2340221600.0,755,29.4625
2340221600.0,800,33.0
2340221600.0,805,32.225
2340221600.0,815,30.0375
2340221600.0,825,30.814285714285713
2340221600.0,835,30.542857142857144
